dlgid,uid,sid,fid,uid,stime,etime,sid,fid,uid,stime,etime,sid
01,01,A:,01_MMK_1,096,324.1325,324.7025,A:
01,02,B:,01_MAD_1,098,324.4250,325.3925,B:
01,03,B:,01_MAD_1,099,326.2250,326.5325,B:
01,04,A:,01_MMK_1,097,327.7475,330.5850,A:
01,05,B:,01_MAD_1,101,332.7425,333.2700,B:
01,06,A:,01_MMK_1,098,333.3325,334.2300,A:
01,07,B:,01_MAD_1,102,334.8825,336.3775,B:
01,08,A:,01_MMK_1,099,336.6000,337.1825,A:
01,09,B:,01_MAD_1,103,338.9350,339.1850,B:
01,10,A:,01_MMK_1,100,339.6850,340.8100,A:
01,11,A:,01_MMK_1,101,342.0225,343.6800,A:
01,12,A:,01_MMK_1,102,344.2850,345.3050,A:
02,01,A:,05_MYH,044,212.7375,212.9100,A:
02,02,A:,05_MYH,045,214.6825,217.3500,A:
02,03,B:,05_MKK,027,219.2750,220.3100,B:
02,04,A:,05_MYH,046,221.8225,222.0400,A:
02,05,B:,05_MKK,028,222.2500,223.2750,B:
02,06,A:,05_MYH,047,225.7975,226.0550,A:
02,07,B:,05_MKK,029,225.8750,227.6700,B:
02,08,B:,05_MKK,030,228.9600,229.6550,B:
02,09,A:,05_MYH,048,230.3200,230.6300,A:
03,01,A:,01_MMK_1,331,1167.2300,1168.3650,A:
03,02,B:,01_MAD_1,287,1168.7675,1169.2625,B:
03,03,B:,01_MAD_1,288,1170.1050,1172.0300,B:
03,04,A:,01_MMK_1,332,1170.4925,1170.9350,A:
03,05,A:,01_MMK_1,333,1171.5725,1173.1325,A:
03,06,A:,01_MMK_1,334,1173.6375,1174.9500,A:
03,07,A:,01_MMK_1,335,1175.6450,1176.3075,A:
03,08,A:,01_MMK_1,336,1176.9975,1178.4050,A:
03,09,B:,01_MAD_1,289,1177.1575,1177.6025,B:
03,10,B:,01_MAD_1,290,1178.4900,1178.7450,B:
03,11,A:,01_MMK_1,337,1178.8650,1181.4200,A:
03,12,B:,01_MAD_1,291,1184.1375,1184.6750,B:
04,01,A:,01_MMK_2,014,73.9600,76.9100,A:
04,02,A:,01_MMK_2,015,78.3225,80.8200,A:
04,03,A:,01_MMK_2,016,82.4550,83.8775,A:
04,04,B:,01_MAD_2,013,82.6700,84.4575,B:
04,05,A:,01_MMK_2,017,84.6500,85.7500,A:
04,06,B:,01_MAD_2,015,87.3475,89.6725,B:
05,01,A:,06_FWA,066,245.2350,248.6575,A:
05,02,B:,06_FTY,070,245.3825,245.7750,B:
05,03,B:,06_FTY,071,255.2775,256.0000,B:
05,04,B:,06_FTY,072,257.3875,259.3225,B:
05,05,A:,06_FWA,067,258.3350,260.4775,A:
05,06,B:,06_FTY,073,261.1125,261.3750,B:
05,07,A:,06_FWA,068,261.5100,264.9775,A:
05,08,B:,06_FTY,074,263.0300,263.2900,B:
05,09,B:,06_FTY,076,267.8675,270.3650,B:
05,10,B:,06_FTY,077,273.7550,274.5325,B:
05,11,A:,06_FWA,069,275.9400,276.4075,A:
05,12,A:,06_FWA,070,276.9300,277.8075,A:
05,13,B:,06_FTY,078,278.3475,281.2975,B:
05,14,A:,06_FWA,071,278.9975,279.6000,A:
06,01,A:,06_FWA,058,203.6000,205.5675,A:
06,02,B:,06_FTY,060,206.3825,208.0225,B:
06,03,A:,06_FWA,059,208.5975,209.6075,A:
06,04,B:,06_FTY,062,211.5025,212.9050,B:
06,05,A:,06_FWA,060,212.0475,213.1450,A:
06,06,B:,06_FTY,063,215.1550,217.1350,B:
06,07,A:,06_FWA,062,220.6775,221.1200,A:
06,08,B:,06_FTY,065,225.7175,226.3600,B:
06,09,B:,06_FTY,066,228.3550,230.6175,B:
06,10,A:,06_FWA,063,228.7825,229.8875,A:
07,01,A:,06_FWA,084,338.2025,339.1600,A:
07,02,B:,06_FTY,094,342.1175,343.3625,B:
07,03,A:,06_FWA,086,344.9750,345.3550,A:
07,04,A:,06_FWA,087,346.0375,346.6725,A:
